,Year,Month,Day,Hour,Minute,PW boom-1 [m^3/s^3],PW boom-2 [m^3/s^3],PW boom-3 [m^3/s^3],d_dz_pw_theory_I,d_dz_pw_theory_II,datetime
0,2022.0,4.0,15.0,0.0,0.0,,,,,,2022-04-15 00:00:00
1,2022.0,4.0,15.0,0.0,20.0,,,,,,2022-04-15 00:20:00
2,2022.0,4.0,15.0,0.0,40.0,,,,,,2022-04-15 00:40:00
3,2022.0,4.0,15.0,1.0,0.0,,,,,,2022-04-15 01:00:00
4,2022.0,4.0,15.0,1.0,20.0,,,,,,2022-04-15 01:20:00
5,2022.0,4.0,15.0,1.0,40.0,,,,,,2022-04-15 01:40:00
6,2022.0,4.0,15.0,2.0,0.0,,,,,,2022-04-15 02:00:00
7,2022.0,4.0,15.0,2.0,20.0,,,,,,2022-04-15 02:20:00
8,2022.0,4.0,15.0,2.0,40.0,,,,,,2022-04-15 02:40:00
9,2022.0,4.0,15.0,3.0,0.0,,,,,,2022-04-15 03:00:00
10,2022.0,4.0,15.0,3.0,20.0,,,,,,2022-04-15 03:20:00
11,2022.0,4.0,15.0,3.0,40.0,,,,,,2022-04-15 03:40:00
12,2022.0,4.0,15.0,4.0,0.0,,,,,,2022-04-15 04:00:00
13,2022.0,4.0,15.0,4.0,20.0,,,,,,2022-04-15 04:20:00
14,2022.0,4.0,15.0,4.0,40.0,,,,,,2022-04-15 04:40:00
15,2022.0,4.0,15.0,5.0,0.0,,,,,,2022-04-15 05:00:00
16,2022.0,4.0,15.0,5.0,20.0,,,,,,2022-04-15 05:20:00
17,2022.0,4.0,15.0,5.0,40.0,,,,,,2022-04-15 05:40:00
18,2022.0,4.0,15.0,6.0,0.0,,,,,,2022-04-15 06:00:00
19,2022.0,4.0,15.0,6.0,20.0,,,,,,2022-04-15 06:20:00
20,2022.0,4.0,15.0,6.0,40.0,,,,,,2022-04-15 06:40:00
21,2022.0,4.0,15.0,7.0,0.0,,,,,,2022-04-15 07:00:00
22,2022.0,4.0,15.0,7.0,20.0,,,,,,2022-04-15 07:20:00
23,2022.0,4.0,15.0,7.0,40.0,,,,,,2022-04-15 07:40:00
24,2022.0,4.0,15.0,8.0,0.0,,,,,,2022-04-15 08:00:00
25,2022.0,4.0,15.0,8.0,20.0,,,,,,2022-04-15 08:20:00
26,2022.0,4.0,15.0,8.0,40.0,,,,,,2022-04-15 08:40:00
27,2022.0,4.0,15.0,9.0,0.0,,,,,,2022-04-15 09:00:00
28,2022.0,4.0,15.0,9.0,20.0,,,,,,2022-04-15 09:20:00
29,2022.0,4.0,15.0,9.0,40.0,,,,,,2022-04-15 09:40:00
30,2022.0,4.0,15.0,10.0,0.0,,,,,,2022-04-15 10:00:00
31,2022.0,4.0,15.0,10.0,20.0,,,,,,2022-04-15 10:20:00
32,2022.0,4.0,15.0,10.0,40.0,,,,,,2022-04-15 10:40:00
33,2022.0,4.0,15.0,11.0,0.0,,,,,,2022-04-15 11:00:00
34,2022.0,4.0,15.0,11.0,20.0,,,,,,2022-04-15 11:20:00
35,2022.0,4.0,15.0,11.0,40.0,,,,,,2022-04-15 11:40:00
36,2022.0,4.0,15.0,12.0,0.0,,,,,,2022-04-15 12:00:00
37,2022.0,4.0,15.0,12.0,20.0,,,,,,2022-04-15 12:20:00
38,2022.0,4.0,15.0,12.0,40.0,,,,,,2022-04-15 12:40:00
39,2022.0,4.0,15.0,13.0,0.0,,,,,,2022-04-15 13:00:00
40,2022.0,4.0,15.0,13.0,20.0,,,,,,2022-04-15 13:20:00
41,2022.0,4.0,15.0,13.0,40.0,,,,,,2022-04-15 13:40:00
42,2022.0,4.0,15.0,14.0,0.0,,,,,,2022-04-15 14:00:00
43,2022.0,4.0,15.0,14.0,20.0,,,,,,2022-04-15 14:20:00
44,2022.0,4.0,15.0,14.0,40.0,,,,,,2022-04-15 14:40:00
45,2022.0,4.0,15.0,14.0,59.0,,,,,,2022-04-15 15:00:00
46,2022.0,4.0,15.0,15.0,19.0,,,,,,2022-04-15 15:20:00
47,2022.0,4.0,15.0,15.0,39.0,,,,,,2022-04-15 15:40:00
48,2022.0,4.0,15.0,15.0,59.0,,,,,,2022-04-15 16:00:00
49,2022.0,4.0,15.0,16.0,19.0,,,,,,2022-04-15 16:20:00
50,2022.0,4.0,15.0,16.0,39.0,,,,,,2022-04-15 16:40:00
51,2022.0,4.0,15.0,16.0,59.0,,,,,,2022-04-15 17:00:00
52,2022.0,4.0,15.0,17.0,19.0,,,,,,2022-04-15 17:20:00
53,2022.0,4.0,15.0,17.0,39.0,,,,,,2022-04-15 17:40:00
54,2022.0,4.0,15.0,17.0,59.0,,,,,,2022-04-15 18:00:00
55,2022.0,4.0,15.0,18.0,19.0,,,,,,2022-04-15 18:20:00
56,2022.0,4.0,15.0,18.0,39.0,,,,,,2022-04-15 18:40:00
57,2022.0,4.0,15.0,18.0,59.0,,,,,,2022-04-15 19:00:00
58,2022.0,4.0,15.0,19.0,19.0,,,,,,2022-04-15 19:20:00
59,2022.0,4.0,15.0,19.0,39.0,,,,,,2022-04-15 19:40:00
60,2022.0,4.0,15.0,19.0,59.0,,,,,,2022-04-15 20:00:00
61,2022.0,4.0,15.0,20.0,19.0,,,,,,2022-04-15 20:20:00
62,2022.0,4.0,15.0,20.0,39.0,,,,,,2022-04-15 20:40:00
63,2022.0,4.0,15.0,20.0,59.0,,,,,,2022-04-15 21:00:00
64,2022.0,4.0,15.0,21.0,19.0,,,,,,2022-04-15 21:20:00
65,2022.0,4.0,15.0,21.0,39.0,,,,,,2022-04-15 21:40:00
66,2022.0,4.0,15.0,21.0,59.0,,,,,,2022-04-15 22:00:00
67,2022.0,4.0,15.0,22.0,19.0,,,,,,2022-04-15 22:20:00
68,2022.0,4.0,15.0,22.0,39.0,,,,,,2022-04-15 22:40:00
69,2022.0,4.0,15.0,22.0,59.0,,,,,,2022-04-15 23:00:00
70,2022.0,4.0,15.0,23.0,19.0,,,,,,2022-04-15 23:20:00
71,2022.0,4.0,15.0,23.0,39.0,,,,,,2022-04-15 23:40:00
72,2022.0,4.0,16.0,0.0,0.0,,,,,,2022-04-16 00:00:00
73,2022.0,4.0,16.0,0.0,20.0,,,,,,2022-04-16 00:20:00
74,2022.0,4.0,16.0,0.0,40.0,,,,,,2022-04-16 00:40:00
75,2022.0,4.0,16.0,1.0,0.0,,,,,,2022-04-16 01:00:00
76,2022.0,4.0,16.0,1.0,20.0,,,,,,2022-04-16 01:20:00
77,2022.0,4.0,16.0,1.0,40.0,,,,,,2022-04-16 01:40:00
78,2022.0,4.0,16.0,2.0,0.0,,,,,,2022-04-16 02:00:00
79,2022.0,4.0,16.0,2.0,20.0,,,,,,2022-04-16 02:20:00
80,2022.0,4.0,16.0,2.0,40.0,,,,,,2022-04-16 02:40:00
81,2022.0,4.0,16.0,3.0,0.0,,,,,,2022-04-16 03:00:00
82,2022.0,4.0,16.0,3.0,20.0,,,,,,2022-04-16 03:20:00
83,2022.0,4.0,16.0,3.0,40.0,,,,,,2022-04-16 03:40:00
84,2022.0,4.0,16.0,4.0,0.0,,,,,,2022-04-16 04:00:00
85,2022.0,4.0,16.0,4.0,20.0,,,,,,2022-04-16 04:20:00
86,2022.0,4.0,16.0,4.0,40.0,,,,,,2022-04-16 04:40:00
87,2022.0,4.0,16.0,5.0,0.0,,,,,,2022-04-16 05:00:00
88,2022.0,4.0,16.0,5.0,20.0,,,,,,2022-04-16 05:20:00
89,2022.0,4.0,16.0,5.0,40.0,,,,,,2022-04-16 05:40:00
90,2022.0,4.0,16.0,6.0,0.0,,,,,,2022-04-16 06:00:00
91,2022.0,4.0,16.0,6.0,20.0,,,,,,2022-04-16 06:20:00
92,2022.0,4.0,16.0,6.0,40.0,,,,,,2022-04-16 06:40:00
93,2022.0,4.0,16.0,7.0,0.0,,,,,,2022-04-16 07:00:00
94,2022.0,4.0,16.0,7.0,20.0,,,,,,2022-04-16 07:20:00
95,2022.0,4.0,16.0,7.0,40.0,,,,,,2022-04-16 07:40:00
96,2022.0,4.0,16.0,8.0,0.0,,,,,,2022-04-16 08:00:00
97,2022.0,4.0,16.0,8.0,20.0,,,,,,2022-04-16 08:20:00
98,2022.0,4.0,16.0,8.0,40.0,,,,,,2022-04-16 08:40:00
99,2022.0,4.0,16.0,9.0,0.0,,,,,,2022-04-16 09:00:00
100,2022.0,4.0,16.0,9.0,20.0,,,,,,2022-04-16 09:20:00
101,2022.0,4.0,16.0,9.0,40.0,,,,,,2022-04-16 09:40:00
102,2022.0,4.0,16.0,10.0,0.0,,,,,,2022-04-16 10:00:00
103,2022.0,4.0,16.0,10.0,20.0,,,,,,2022-04-16 10:20:00
104,2022.0,4.0,16.0,10.0,40.0,,,,,,2022-04-16 10:40:00
105,2022.0,4.0,16.0,11.0,0.0,,,,,,2022-04-16 11:00:00
106,2022.0,4.0,16.0,11.0,20.0,,,,,,2022-04-16 11:20:00
107,2022.0,4.0,16.0,11.0,40.0,,,,,,2022-04-16 11:40:00
108,2022.0,4.0,16.0,12.0,0.0,,,,,,2022-04-16 12:00:00
109,2022.0,4.0,16.0,12.0,20.0,,,,,,2022-04-16 12:20:00
110,2022.0,4.0,16.0,12.0,40.0,,,,,,2022-04-16 12:40:00
111,2022.0,4.0,16.0,13.0,0.0,,,,,,2022-04-16 13:00:00
112,2022.0,4.0,16.0,13.0,20.0,,,,,,2022-04-16 13:20:00
113,2022.0,4.0,16.0,13.0,40.0,,,,,,2022-04-16 13:40:00
114,2022.0,4.0,16.0,14.0,0.0,,,,,,2022-04-16 14:00:00
115,2022.0,4.0,16.0,14.0,20.0,,,,,,2022-04-16 14:20:00
116,2022.0,4.0,16.0,14.0,40.0,,,,,,2022-04-16 14:40:00
117,2022.0,4.0,16.0,14.0,59.0,,,,,,2022-04-16 15:00:00
118,2022.0,4.0,16.0,15.0,19.0,,,,,,2022-04-16 15:20:00
119,2022.0,4.0,16.0,15.0,39.0,,,,,,2022-04-16 15:40:00
120,2022.0,4.0,16.0,15.0,59.0,,,,,,2022-04-16 16:00:00
121,2022.0,4.0,16.0,16.0,19.0,,,,,,2022-04-16 16:20:00
122,2022.0,4.0,16.0,16.0,39.0,,,,,,2022-04-16 16:40:00
123,2022.0,4.0,16.0,16.0,59.0,,,,,,2022-04-16 17:00:00
124,2022.0,4.0,16.0,17.0,19.0,,,,,,2022-04-16 17:20:00
125,2022.0,4.0,16.0,17.0,39.0,,,,,,2022-04-16 17:40:00
126,2022.0,4.0,16.0,17.0,59.0,,,,,,2022-04-16 18:00:00
127,2022.0,4.0,16.0,18.0,19.0,,,,,,2022-04-16 18:20:00
128,2022.0,4.0,16.0,18.0,39.0,,,,,,2022-04-16 18:40:00
129,2022.0,4.0,16.0,18.0,59.0,,,,,,2022-04-16 19:00:00
130,2022.0,4.0,16.0,19.0,19.0,,,,,,2022-04-16 19:20:00
131,2022.0,4.0,16.0,19.0,39.0,,,,,,2022-04-16 19:40:00
132,2022.0,4.0,16.0,19.0,59.0,,,,,,2022-04-16 20:00:00
133,2022.0,4.0,16.0,20.0,19.0,,,,,,2022-04-16 20:20:00
134,2022.0,4.0,16.0,20.0,39.0,,,,,,2022-04-16 20:40:00
135,2022.0,4.0,16.0,20.0,59.0,,,,,,2022-04-16 21:00:00
136,2022.0,4.0,16.0,21.0,19.0,,,,,,2022-04-16 21:20:00
137,2022.0,4.0,16.0,21.0,39.0,,,,,,2022-04-16 21:40:00
138,2022.0,4.0,16.0,21.0,59.0,,,,,,2022-04-16 22:00:00
139,2022.0,4.0,16.0,22.0,19.0,,,,,,2022-04-16 22:20:00
140,2022.0,4.0,16.0,22.0,39.0,,,,,,2022-04-16 22:40:00
141,2022.0,4.0,16.0,22.0,59.0,,,,,,2022-04-16 23:00:00
142,2022.0,4.0,16.0,23.0,19.0,,,,,,2022-04-16 23:20:00
143,2022.0,4.0,16.0,23.0,39.0,,,,,,2022-04-16 23:40:00
144,2022.0,4.0,17.0,0.0,0.0,,,,,,2022-04-17 00:00:00
145,2022.0,4.0,17.0,0.0,20.0,,,,,,2022-04-17 00:20:00
146,2022.0,4.0,17.0,0.0,40.0,,,,,,2022-04-17 00:40:00
147,2022.0,4.0,17.0,1.0,0.0,,,,,,2022-04-17 01:00:00
